Category,Parameter,F1,Precision,Recall,Measure
Process Graph Metrics,"(400.0, 500.0, 0.1)",0.543640897755611,0.6337209302325582,0.4759825327510917,10.0
Process Graph Metrics,"(400.0, 600.0, 0.0001)",0.6015424164524421,0.73125,0.5109170305676856,10.0
Process Graph Metrics,"(400.0, 600.0, 0.005)",0.616504854368932,0.6939890710382514,0.5545851528384279,10.0
Process Graph Metrics,"(400.0, 600.0, 0.05)",0.608695652173913,0.6810810810810811,0.5502183406113537,10.0
Process Graph Metrics,"(400.0, 600.0, 0.1)",0.6047619047619047,0.6649214659685864,0.5545851528384279,10.0
Process Graph Metrics,"(400.0, 700.0, 0.0001)",0.6401985111662531,0.7413793103448276,0.5633187772925764,10.0
Process Graph Metrics,"(400.0, 700.0, 0.005)",0.6346153846153847,0.7058823529411765,0.5764192139737991,10.0
Process Graph Metrics,"(400.0, 700.0, 0.05)",0.6318289786223278,0.6927083333333334,0.5807860262008734,10.0
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.6244131455399061,0.6751269035532995,0.5807860262008734,10.0
Zheng DBSCAN,"(300.0, 30.0)",0.4989339019189765,0.4875,0.5109170305676856,10.0
Zheng DBSCAN,"(300.0, 60.0)",0.5441860465116279,0.582089552238806,0.5109170305676856,10.0
Zheng DBSCAN,"(300.0, 90.0)",0.5665859564164649,0.6358695652173914,0.5109170305676856,10.0
Zheng DBSCAN,"(300.0, 120.0)",0.5777777777777777,0.6647727272727273,0.5109170305676856,10.0
Zheng DBSCAN,"(300.0, 150.0)",0.5864661654135338,0.6882352941176471,0.5109170305676856,10.0
Zheng DBSCAN,"(400.0, 40.0)",0.5282167042889391,0.5467289719626168,0.5109170305676856,10.0
Zheng DBSCAN,"(400.0, 80.0)",0.5598086124401913,0.6190476190476191,0.5109170305676856,10.0
Zheng DBSCAN,"(400.0, 120.0)",0.5792079207920792,0.6685714285714286,0.5109170305676856,10.0
Zheng DBSCAN,"(400.0, 160.0)",0.5835411471321695,0.6802325581395349,0.5109170305676856,10.0
