Category,Parameter,F1,Precision,Recall
Bose J,"(100.0, 2.0)",0.5594405594405594,0.6,0.5240174672489083
Bose J,"(200.0, 2.0)",0.4961832061068702,0.4406779661016949,0.5676855895196506
Bose J,"(300.0, 2.0)",0.5148936170212766,0.5020746887966805,0.5283842794759825
Bose J,"(400.0, 2.0)",0.5121951219512195,0.580110497237569,0.4585152838427948
Bose J,"(500.0, 2.0)",0.4897959183673469,0.588957055214724,0.4192139737991266
Bose J,"(600.0, 2.0)",0.49870129870129865,0.6153846153846154,0.4192139737991266
Bose WC,"(100.0, 2.0)",0.48648648648648646,0.6382978723404256,0.3930131004366812
Bose WC,"(200.0, 2.0)",0.4748201438848921,0.526595744680851,0.43231441048034935
Bose WC,"(300.0, 2.0)",0.34986945169712796,0.43506493506493504,0.2925764192139738
Bose WC,"(400.0, 2.0)",0.37362637362637363,0.5037037037037037,0.29694323144104806
Bose WC,"(500.0, 2.0)",0.2824207492795389,0.4152542372881356,0.21397379912663755
Bose WC,"(600.0, 2.0)",0.16117216117216118,0.5,0.09606986899563319
Earth Mover's Distance,"(100.0, 2.0)",0.536779324055666,0.4927007299270073,0.5895196506550219
Earth Mover's Distance,"(200.0, 2.0)",0.5173745173745173,0.46366782006920415,0.5851528384279476
Earth Mover's Distance,"(300.0, 2.0)",0.6073752711496746,0.603448275862069,0.611353711790393
Earth Mover's Distance,"(400.0, 2.0)",0.6819338422391857,0.8170731707317073,0.5851528384279476
Earth Mover's Distance,"(500.0, 2.0)",0.6857142857142857,0.8461538461538461,0.5764192139737991
Earth Mover's Distance,"(600.0, 2.0)",0.7083333333333334,0.8774193548387097,0.5938864628820961
LCDD,"(100.0, 100.0, 5.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(100.0, 100.0, 10.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(100.0, 100.0, 20.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(100.0, 100.0, 50.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(100.0, 100.0, 100.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(100.0, 100.0, 150.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(100.0, 100.0, 200.0)",0.1474019088016967,0.08388654194327097,0.6069868995633187
LCDD,"(200.0, 200.0, 5.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(200.0, 200.0, 10.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(200.0, 200.0, 20.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(200.0, 200.0, 50.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(200.0, 200.0, 100.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(200.0, 200.0, 150.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(200.0, 200.0, 200.0)",0.20437956204379562,0.12918108419838523,0.4890829694323144
LCDD,"(300.0, 300.0, 5.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(300.0, 300.0, 10.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(300.0, 300.0, 20.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(300.0, 300.0, 50.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(300.0, 300.0, 100.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(300.0, 300.0, 150.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(300.0, 300.0, 200.0)",0.02386634844868735,0.016420361247947456,0.043668122270742356
LCDD,"(400.0, 400.0, 5.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(400.0, 400.0, 10.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(400.0, 400.0, 20.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(400.0, 400.0, 50.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(400.0, 400.0, 100.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(400.0, 400.0, 150.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(400.0, 400.0, 200.0)",0.15552523874488405,0.1130952380952381,0.24890829694323144
LCDD,"(600.0, 600.0, 5.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(600.0, 600.0, 10.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(600.0, 600.0, 20.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(600.0, 600.0, 50.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(600.0, 600.0, 100.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(600.0, 600.0, 150.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(600.0, 600.0, 200.0)",0.021786492374727667,0.021739130434782608,0.021834061135371178
LCDD,"(800.0, 800.0, 5.0)",0.019656019656019656,0.02247191011235955,0.017467248908296942
LCDD,"(800.0, 800.0, 10.0)",0.019656019656019656,0.02247191011235955,0.017467248908296942
LCDD,"(800.0, 800.0, 20.0)",0.019656019656019656,0.02247191011235955,0.017467248908296942
LCDD,"(800.0, 800.0, 50.0)",0.019656019656019656,0.02247191011235955,0.017467248908296942
LCDD,"(800.0, 800.0, 100.0)",0.019656019656019656,0.02247191011235955,0.017467248908296942
