lag,parameter,TP,FP,FN_TP,Precision,Recall,F1 Score
0.01,100,1845,3497,9420,0.345376263571696,0.19585987261146498,0.24996612925077902
0.025,100,2363,2979,9420,0.44234369150131037,0.2508492569002123,0.3201463216366346
0.05,100,2554,2788,9420,0.4780980906027705,0.2711252653927813,0.3460235740414578
0.1,150,2650,2639,9420,0.5010398941198714,0.2813163481953291,0.3603236113943844
0.15,150,2692,2597,9420,0.508980903762526,0.28577494692144373,0.36603440070705007
0.2,100,2747,2595,9420,0.5142268813178584,0.2916135881104034,0.3721717924400487
