,collection,noise_level,log_name,trace_length,event_class_size,unique_traces,log_size
79,input,train,log_4120_1708942451.xes,5.475032010243278,8.0,1765.0,3905.0
80,input,train,log_2355_1708942452.xes,6.0,6.0,66.0,3328.0
81,input,train,log_3699_1708942450.xes,6.000235017626322,7.0,1818.0,4255.0
82,input,train,log_3614_1708942451.xes,5.674941207211916,11.0,487.0,3827.0
83,input,train,log_2523_1708942451.xes,7.098755411255412,7.0,23.0,3696.0
84,input,train,log_2776_1708942451.xes,8.67378252168112,9.0,38.0,2998.0
85,input,train,log_2608_1708942452.xes,5.353883348443639,8.0,94.0,3309.0
86,input,train,log_3194_1708942449.xes,6.994926617140786,8.0,3007.0,5519.0
87,input,train,log_1345_1708942448.xes,8.792618997693436,8.0,560.0,4769.0
88,input,train,log_4705_1708942448.xes,16.513673088875077,11.0,1042.0,3218.0
89,input,train,log_1765_1708942448.xes,6.5519361808210075,13.0,157.0,6017.0
90,input,train,log_2019_1708942452.xes,2.203116972084261,11.0,654.0,5839.0
91,input,train,log_3532_1708942452.xes,2.769160249358269,13.0,977.0,5454.0
92,input,train,log_4875_1708942453.xes,2.8658501020705747,6.0,641.0,3429.0
93,input,train,log_1515_1708942451.xes,3.997355663287792,6.0,1088.0,4538.0
94,input,train,log_4202_1708942449.xes,10.469896519285042,11.0,1404.0,4252.0
95,input,train,log_676_1708942453.xes,1.864319133218419,8.0,501.0,4061.0
96,input,train,log_3781_1708942448.xes,7.465053277948347,8.0,1302.0,5537.0
97,input,train,log_506_1708942449.xes,13.332677165354331,12.0,2433.0,3556.0
98,input,train,log_3113_1708942454.xes,2.32012987012987,14.0,78.0,3080.0
99,input,train,log_2018_1708942450.xes,6.0,6.0,2.0,5375.0
100,input,train,log_2356_1708942453.xes,6.2750092284976,12.0,554.0,2709.0
101,input,train,log_421_1708942448.xes,6.263869678807438,8.0,6.0,6507.0
102,input,train,log_338_1708942453.xes,6.0,7.0,6.0,2691.0
103,input,train,log_1767_1708942451.xes,9.004657351962742,11.0,901.0,3006.0
104,input,train,log_1093_1708942448.xes,6.7323272438443205,7.0,1336.0,6295.0
105,input,train,log_171_1708942453.xes,2.4796477029278745,6.0,4.0,4201.0
106,input,train,log_3112_1708942452.xes,12.912234042553191,12.0,541.0,1880.0
107,input,train,log_172_1708942454.xes,7.082824168363883,11.0,677.0,1473.0
108,input,train,log_2103_1708942451.xes,5.263562908811081,7.0,16.0,5198.0
109,input,train,log_3195_1708942452.xes,6.171959721146398,13.0,1783.0,3873.0
110,input,train,log_4876_1708942454.xes,3.005714285714286,6.0,2.0,3675.0
111,input,train,log_926_1708942449.xes,13.100831862868667,12.0,3096.0,3967.0
112,input,train,log_3950_1708942453.xes,7.008520037866835,6.0,20.0,3169.0
113,input,train,log_2778_1708942453.xes,8.450381679389313,7.0,399.0,2751.0
114,input,train,log_843_1708942450.xes,6.000711111111111,7.0,1070.0,5625.0
115,input,train,log_170_1708942451.xes,3.7658351834922295,13.0,1945.0,7657.0
116,input,train,log_677_1708942454.xes,10.148900169204738,11.0,405.0,1182.0
117,input,train,log_3949_1708942448.xes,5.350801832760595,7.0,2090.0,6984.0
118,input,train,log_3363_1708942451.xes,7.752517677308764,11.0,1417.0,4667.0
119,input,train,log_2607_1708942451.xes,9.08456843940715,10.0,940.0,4588.0
120,input,train,log_1094_1708942452.xes,7.89746835443038,8.0,1718.0,3160.0
121,input,train,log_1009_1708942448.xes,6.968737737083061,7.0,1643.0,7645.0
122,input,train,log_4537_1708942448.xes,9.424416450537237,12.0,3923.0,5398.0
123,input,train,log_2610_1708942455.xes,5.951298701298701,6.0,443.0,1232.0
124,input,train,log_4790_1708942452.xes,4.195631707776314,8.0,1342.0,5311.0
125,input,train,log_1682_1708942450.xes,10.032883986928105,6.0,1739.0,4896.0
126,input,train,log_592_1708942451.xes,4.602152190622598,14.0,3045.0,6505.0
127,input,train,log_1264_1708942454.xes,2.622630780894617,6.0,14.0,5276.0
128,input,train,log_3114_1708942454.xes,4.502469813391877,6.0,18.0,3644.0
129,input,train,log_3533_1708942454.xes,5.25640234495526,6.0,917.0,3241.0
130,input,train,log_2944_1708942452.xes,6.0,6.0,15.0,5601.0
131,input,train,log_2440_1708942451.xes,12.987046632124352,11.0,399.0,4632.0
132,input,train,log_255_1708942454.xes,7.7043657614300445,12.0,902.0,2909.0
133,input,train,log_1011_1708942454.xes,6.0,7.0,2.0,3288.0
134,input,train,log_1010_1708942452.xes,6.374575362059717,8.0,14.0,5593.0
135,input,train,log_4873_1708942448.xes,7.190742426212456,12.0,94.0,7691.0
136,input,train,log_844_1708942452.xes,7.0,7.0,2.0,5220.0
137,input,train,log_2270_1708942454.xes,6.0,6.0,1.0,3380.0
138,input,train,log_1683_1708942453.xes,4.417576105686387,7.0,20.0,5223.0
139,input,train,log_4706_1708942452.xes,4.145383615084525,6.0,36.0,7690.0
140,input,train,log_678_1708942455.xes,2.6821192052980134,10.0,267.0,4077.0
